id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,price_change_percentage_7d_in_currency
crypto-com-chain,cro,Cronos,https://assets.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.094371,2509404242,43,2843802514.0,18341722.0,0.096453,0.086618,0.00735454,8.45188,202415325.0,8.77401,26472347103.3199,30000000000.0,,0.965407,-90.22473,2021-11-24T15:53:54.855Z,0.0121196,678.6659,2019-02-08T00:00:00.000Z,,2024-01-11T15:41:45.046Z,-1.720769292467086,8.451882072748022,-2.739878679031177
vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VET_Token_Icon.png?1696502256,0.03332576,2439953369,44,2885249054.0,94346863.0,0.03419341,0.02938317,0.00393301,13.38087,300189780.0,14.02911,72714516834.0,85985041177.0,86712634466.0,0.280991,-88.08301,2021-04-19T01:08:21.675Z,0.00191713,1646.65355,2020-03-13T02:29:59.652Z,"{'times': 3.456289495536089, 'currency': 'eth', 'percentage': 345.6289495536089}",2024-01-11T15:41:47.814Z,-2.0505439585833636,13.38087366652238,2.7628376251295084
true-usd,tusd,TrueUSD,https://assets.coingecko.com/coins/images/3449/large/tusd.png?1696504140,0.990348,2092483746,45,2092483746.0,592122327.0,1.01,0.986456,-0.007163882291006951,-0.71817,-49382308.118300915,-2.30557,2107895371.54,2107895371.54,,1.62,-38.54621,2018-08-26T20:41:09.375Z,0.88355,12.57287,2020-03-12T10:47:51.380Z,,2024-01-11T15:41:48.117Z,-1.3811795546377645,-0.7181749521135814,-1.3681189717003952
first-digital-usd,fdusd,First Digital USD,https://assets.coingecko.com/coins/images/31079/large/firstfigital.jpeg?1696529912,0.992268,2008869381,46,2008869381.0,6796976706.0,1.019,0.985684,-0.00844463574104948,-0.84386,-20480457.72811556,-1.00921,2025986728.41,2025986728.41,,1.041,-4.03565,2023-10-23T22:55:15.103Z,0.942129,6.07037,2023-08-17T21:55:41.478Z,,2024-01-11T15:42:07.375Z,-2.645925491173007,-0.8438623172897434,-0.9578518021958176
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,2162.43,1989680855,47,2114061164.0,229287350.0,2236.52,1970.36,161.4,8.06605,148200337.0,8.04789,920112.336426501,977631.036950888,1005577.0,6292.31,-65.49709,2021-05-03T21:54:29.333Z,168.36,1189.53602,2020-03-16T20:52:36.527Z,,2024-01-11T15:42:01.878Z,-2.8708462933295906,8.066051107524494,18.946109592427618
bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1696507128,99.15,1957690244,48,2097087922.0,448824222.0,102.53,88.2,9.7,10.84406,223359083.0,12.87869,19604087.5,21000000.0,21000000.0,489.75,-79.75456,2021-04-16T17:09:04.630Z,21.43,362.57504,2023-06-10T04:32:12.266Z,,2024-01-11T15:41:45.092Z,-2.627083657696967,10.84405689179018,17.85573850607879
quant-network,qnt,Quant,https://assets.coingecko.com/coins/images/3370/large/5ZOu7brX_400x400.jpg?1696504070,126.41,1849396325,49,1858083301.0,51014910.0,130.13,114.47,11.94,10.42965,183489781.0,11.01441,14544176.164091088,14612493.0,14612493.0,427.42,-70.30183,2021-09-11T09:15:00.668Z,0.215773,58728.69524,2018-08-23T00:00:00.000Z,"{'times': 19.766547174029796, 'currency': 'eth', 'percentage': 1976.6547174029795}",2024-01-11T15:41:46.528Z,-1.4492661627524428,10.42964925720813,-2.1182262715453257
the-graph,grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1696513159,0.188602,1771889912,50,2041294921.0,148521307.0,0.189236,0.160487,0.02746368,17.04353,264557186.0,17.55135,9364230431.50858,10788004319.0,10788004319.0,2.84,-93.38204,2021-02-12T07:28:45.775Z,0.052051,261.27932,2022-11-22T10:05:03.503Z,,2024-01-11T15:41:45.683Z,-0.3350701961683762,17.043528843199518,-0.9096909103806299
sei-network,sei,Sei,https://assets.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.749021,1731837115,51,7529726589.0,736977461.0,0.808104,0.645431,0.101676,15.70652,232549865.0,15.51069,2300000000.0,10000000000.0,,0.877895,-12.51092,2024-01-03T21:20:26.826Z,0.095364,705.40216,2023-10-19T08:05:30.655Z,,2024-01-11T15:42:02.117Z,-5.432436258277045,15.706517787547225,-7.303598240952422
rocket-pool-eth,reth,Rocket Pool ETH,https://assets.coingecko.com/coins/images/20764/large/reth.png?1696520159,2903.95,1640832389,52,1640832389.0,6891110.0,2924.72,2644.48,242.39,9.10708,142598420.0,9.51777,563189.492260752,563189.492260752,,4814.31,-39.52676,2021-12-01T08:03:50.749Z,887.26,228.12904,2022-06-18T20:55:45.957Z,,2024-01-11T15:41:57.628Z,-0.03318732599164243,9.107081860890503,16.942860440598395
